Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Vedron Dzolovick,WDE,6-3,220,,,,0,Maine South,Park Ridge,IL,,Signed,https://247sports.com/Player/vedron-dzolovick-73220/,"Park Ridge, IL",42.0112329,-87.8406031
1999,Recruit,Nick Mangosing,TE,6-5,265,,,,0,Apollo,Glendale,AZ,,Signed,https://247sports.com/Player/nick-mangosing-73222/,"Glendale, AZ",33.5386858,-112.185994
1999,Recruit,Tim Olmstead,OLB,6-3,245,,,,0,Bishop McNamara,Kankakee,IL,,Signed,https://247sports.com/Player/tim-olmstead-73226/,"Kankakee, IL",41.1253903,-87.848682
1999,Recruit,Shaun Phillips,TE,6-4,225,,,,0,Willingboro,Willingboro,NJ,,Signed,https://247sports.com/Player/shaun-phillips-73229/,"Willingboro, NJ",40.0289423,-74.8808221
1999,Recruit,Craig Terrill,WDE,6-4,265,,,,0,Lebanon,Lebanon,IN,,Signed,https://247sports.com/Player/craig-terrill-73232/,"Lebanon, IN",40.0483744,-86.4691677
1999,Recruit,Daniel Giles,OLB,6-2,220,,,,0,Ponchatoula,Ponchatoula,LA,,Signed,https://247sports.com/Player/daniel-giles-73235/,"Ponchatoula, LA",30.4388041,-90.4414762
1999,Recruit,Landon Johnson,OLB,6-3,195,,,,0,Lubbock Coronado,Lubbock,TX,,Signed,https://247sports.com/Player/landon-johnson-73238/,"Lubbock, TX",33.5855677,-101.8470215
1999,Recruit,John Duggan,SDE,6-5,255,,,,0,Bell,Hurst,TX,,Signed,https://247sports.com/Player/john-duggan-73242/,"Hurst, TX",32.8234621,-97.1705678
1999,Recruit,Daemeon Grier,DT,6-2,315,,,,0,Bloomfield,Bloomfield,CT,,Signed,https://247sports.com/Player/daemeon-grier-73248/,"Bloomfield, CT",41.8313002,-72.7370265
1999,Recruit,Chris James,WR,5-10,170,,,,0,Tampa Jesuit,Tampa,FL,,Signed,https://247sports.com/Player/chris-james-73252/,"Tampa, FL",27.9449854,-82.4583107
1999,Recruit,Kevin Nesfield,WDE,6-3,215,,,,0,Clear Brook,Friendswood,TX,,Signed,https://247sports.com/Player/kevin-nesfield-73255/,"Friendswood, TX",29.5293998,-95.2010447
1999,Recruit,Melvin Scurry,OLB,6-3,205,,,,0,Lehigh Senior,Lehigh Acres,FL,,Signed,https://247sports.com/Player/melvin-scurry-73260/,"Lehigh Acres, FL",26.6040585,-81.6581333
1999,Recruit,Daveon Walker,WR,5-10,165,,,,0,Ponchatoula,Ponchatoula,LA,,Signed,https://247sports.com/Player/daveon-walker-73264/,"Ponchatoula, LA",30.4388041,-90.4414762
1999,Recruit,Akin Ayodele,OLB,6-2,235,,,,0,Coffeyville C.C.,Coffeyville,KS,,Signed,https://247sports.com/Player/akin-ayodele-73266/,"Coffeyville, KS",37.0372999,-95.6163634
1999,Recruit,Keith Dawson,WR,6-5,200,,,,0,Chaffey College,Rancho Cucamonga,CA,,Signed,https://247sports.com/Player/keith-dawson-73268/,"Rancho Cucamonga, CA",34.1033192,-117.575173
1999,Recruit,Larry Shyne,WR,5-11,170,,,,0,Mt. San Antonio College,Walnut,CA,,Signed,https://247sports.com/Player/larry-shyne-73270/,"Walnut, CA",34.0203253,-117.8659441
1999,Recruit,Ashante Woodyard,CB,6-2,200,,,,0,Garden City C.C.,Garden City,KS,,Signed,https://247sports.com/Player/ashante-woodyard-73272/,"Garden City, KS",37.9716898,-100.8726618
1999,Recruit,Ryan Breska,PRO,6-3,195,,,,0,Fountain Valley,Fountain Valley,CA,,Signed,https://247sports.com/Player/ryan-breska-73273/,"Fountain Valley, CA",33.7038145,-117.9627349
2000,Recruit,Deaunte Ferrell,RB,5-11,185,,,,0,Nordonia,Macedonia,OH,,Signed,https://247sports.com/Player/deaunte-ferrell-71824/,"Macedonia, OH",41.313667,-81.50845
2000,Recruit,Jon Goldsberry,RB,6-3,210,,,,0,Heritage Hills,Lincoln City,IN,,Signed,https://247sports.com/Player/jon-goldsberry-71827/,"Lincoln City, IN",38.1211634,-86.9986077
2000,Recruit,Brandon Hance,PRO,6-1,185,,,,0,Taft,Woodland Hills,CA,,Signed,https://247sports.com/Player/brandon-hance-71831/,"Woodland Hills, CA",34.1684364,-118.6058382
2000,Recruit,Joey Harris,ATH,5-11,202,,,,0,Klein Oak,Spring,TX,,Signed,https://247sports.com/Player/joey-harris-71834/,"Spring, TX",30.070979,-95.4013419
2000,Recruit,Gary Heaggans,WR,6-2,185,,,,0,Schlagle,Kansas City,KS,,Signed,https://247sports.com/Player/gary-heaggans-71838/,"Kansas City, KS",39.1134562,-94.626497
2000,Recruit,Antwaun Rogers,S,6-1,150,,,,0,Middletown,Middletown,OH,,Signed,https://247sports.com/Player/antwaun-rogers-71840/,"Middletown, OH",39.516644,-84.4041725
